month   interest  principle total_paid
   61    2083.33  499597.22    2486.11
   62    2081.66  499192.77    4972.22
   63    2079.97  498786.63    7458.33
   64    2078.28  498378.80    9944.44
   65    2076.58  497969.26   12430.55
   66    2074.87  497558.03   14916.66
   67    2073.16  497145.07   17402.77
   68    2071.44  496730.40   19888.88
   69    2069.71  496314.00   22374.99
   70    2067.98  495895.87   24861.10
   71    2066.23  495475.99   27347.21
   72    2064.48  495054.36   29833.32
   73    2062.73  494630.98   32319.43
   74    2060.96  494205.83   34805.54
   75    2059.19  493778.91   37291.65
   76    2057.41  493350.22   39777.76
   77    2055.63  492919.73   42263.87
   78    2053.83  492487.45   44749.98
   79    2052.03  492053.37   47236.09
   80    2050.22  491617.49   49722.20
   81    2048.41  491179.78   52208.31
   82    2046.58  490740.26   54694.42
   83    2044.75  490298.90   57180.53
   84    2042.91  489855.70   59666.64
   85    2041.07  489410.65   62152.75
   86    2039.21  488963.76   64638.86
   87    2037.35  488514.99   67124.97
   88    2035.48  488064.36   69611.08
   89    2033.60  487611.85   72097.19
   90    2031.72  487157.46   74583.30
   91    2029.82  486701.17   77069.41
   92    2027.92  486242.99   79555.52
   93    2026.01  485782.89   82041.63
   94    2024.10  485320.87   84527.74
   95    2022.17  484856.93   87013.85
   96    2020.24  484391.06   89499.96
   97    2018.30  483923.25   91986.07
   98    2016.35  483453.48   94472.18
   99    2014.39  482981.76   96958.29
  100    2012.42  482508.08   99444.40
  101    2010.45  482032.42  101930.51
  102    2008.47  481554.78  104416.62
  103    2006.48  481075.14  106902.73
  104    2004.48  480593.51  109388.84
  105    2002.47  480109.88  111874.95
  106    2000.46  479624.22  114361.06
  107    1998.43  479136.55  116847.17
  108    1996.40  478646.84  119333.28
  109    1994.36  478155.09  121819.39
  110    1992.31  477661.30  124305.50
  111    1990.26  477165.44  126791.61
  112    1988.19  476667.52  129277.72
  113    1986.11  476167.53  131763.83
  114    1984.03  475665.45  134249.94
  115    1981.94  475161.28  136736.05
  116    1979.84  474655.00  139222.16
  117    1977.73  474146.62  141708.27
  118    1975.61  473636.12  144194.38
  119    1973.48  473123.50  146680.49
  120    1971.35  472608.74  149166.60
  121    1969.20  472091.83  151652.71
  122    1967.05  471572.77  154138.82
  123    1964.89  471051.55  156624.93
  124    1962.71  470528.15  159111.04
  125    1960.53  470002.57  161597.15
  126    1958.34  469474.81  164083.26
  127    1956.15  468944.84  166569.37
  128    1953.94  468412.67  169055.48
  129    1951.72  467878.28  171541.59
  130    1949.49  467341.66  174027.70
  131    1947.26  466802.81  176513.81
  132    1945.01  466261.71  178999.92
  133    1942.76  465718.36  181486.03
  134    1940.49  465172.74  183972.14
  135    1938.22  464624.85  186458.25
  136    1935.94  464074.68  188944.36
  137    1933.64  463522.21  191430.47
  138    1931.34  462967.45  193916.58
  139    1929.03  462410.37  196402.69
  140    1926.71  461850.97  198888.80
  141    1924.38  461289.24  201374.91
  142    1922.04  460725.16  203861.02
  143    1919.69  460158.74  206347.13
  144    1917.33  459589.96  208833.24
  145    1914.96  459018.81  211319.35
  146    1912.58  458445.28  213805.46
  147    1910.19  457869.35  216291.57
  148    1907.79  457291.03  218777.68
  149    1905.38  456710.30  221263.79
  150    1902.96  456127.15  223749.90
  151    1900.53  455541.57  226236.01
  152    1898.09  454953.55  228722.12
  153    1895.64  454363.08  231208.23
  154    1893.18  453770.15  233694.34
  155    1890.71  453174.75  236180.45
  156    1888.23  452576.87  238666.56
  157    1885.74  451976.50  241152.67
  158    1883.24  451373.62  243638.78
  159    1880.72  450768.23  246124.89
  160    1878.20  450160.33  248611.00
  161    1875.67  449549.88  251097.11
  162    1873.12  448936.90  253583.22
  163    1870.57  448321.36  256069.33
  164    1868.01  447703.25  258555.44
  165    1865.43  447082.57  261041.55
  166    1862.84  446459.31  263527.66
  167    1860.25  445833.45  266013.77
  168    1857.64  445204.98  268499.88
  169    1855.02  444573.89  270985.99
  170    1852.39  443940.17  273472.10
  171    1849.75  443303.81  275958.21
  172    1847.10  442664.80  278444.32
  173    1844.44  442023.12  280930.43
  174    1841.76  441378.78  283416.54
  175    1839.08  440731.74  285902.65
  176    1836.38  440082.02  288388.76
  177    1833.68  439429.58  290874.87
  178    1830.96  438774.43  293360.98
  179    1828.23  438116.55  295847.09
  180    1825.49  437455.92  298333.20
  181    1822.73  436792.54  300819.31
  182    1819.97  436126.40  303305.42
  183    1817.19  435457.49  305791.53
  184    1814.41  434785.78  308277.64
  185    1811.61  434111.28  310763.75
  186    1808.80  433433.97  313249.86
  187    1805.97  432753.83  315735.97
  188    1803.14  432070.86  318222.08
  189    1800.30  431385.05  320708.19
  190    1797.44  430696.38  323194.30
  191    1794.57  430004.83  325680.41
  192    1791.69  429310.41  328166.52
  193    1788.79  428613.09  330652.63
  194    1785.89  427912.87  333138.74
  195    1782.97  427209.73  335624.85
  196    1780.04  426503.66  338110.96
  197    1777.10  425794.65  340597.07
  198    1774.14  425082.69  343083.18
  199    1771.18  424367.75  345569.29
  200    1768.20  423649.84  348055.40
  201    1765.21  422928.94  350541.51
  202    1762.20  422205.03  353027.62
  203    1759.19  421478.11  355513.73
  204    1756.16  420748.16  357999.84
  205    1753.12  420015.17  360485.95
  206    1750.06  419279.12  362972.06
  207    1747.00  418540.01  365458.17
  208    1743.92  417797.81  367944.28
  209    1740.82  417052.53  370430.39
  210    1737.72  416304.14  372916.50
  211    1734.60  415552.63  375402.61
  212    1731.47  414797.99  377888.72
  213    1728.32  414040.20  380374.83
  214    1725.17  413279.26  382860.94
  215    1722.00  412515.15  385347.05
  216    1718.81  411747.85  387833.16
  217    1715.62  410977.36  390319.27
  218    1712.41  410203.65  392805.38
  219    1709.18  409426.72  395291.49
  220    1705.94  408646.56  397777.60
  221    1702.69  407863.14  400263.71
  222    1699.43  407076.46  402749.82
  223    1696.15  406286.50  405235.93
  224    1692.86  405493.25  407722.04
  225    1689.56  404696.70  410208.15
  226    1686.24  403896.83  412694.26
  227    1682.90  403093.62  415180.37
  228    1679.56  402287.07  417666.48
  229    1676.20  401477.15  420152.59
  230    1672.82  400663.86  422638.70
  231    1669.43  399847.19  425124.81
  232    1666.03  399027.11  427610.92
  233    1662.61  398203.61  430097.03
  234    1659.18  397376.68  432583.14
  235    1655.74  396546.31  435069.25
  236    1652.28  395712.47  437555.36
  237    1648.80  394875.17  440041.47
  238    1645.31  394034.37  442527.58
  239    1641.81  393190.07  445013.69
  240    1638.29  392342.25  447499.80
  241    1634.76  391490.90  449985.91
  242    1631.21  390636.00  452472.02
  243    1627.65  389777.54  454958.13
  244    1624.07  388915.50  457444.24
  245    1620.48  388049.88  459930.35
  246    1616.87  387180.64  462416.46
  247    1613.25  386307.78  464902.57
  248    1609.62  385431.29  467388.68
